fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD,ICES advice,Total catch from the stock corresponding to the advice,Commercial catch corresponding to the advice,Agreed TAC,ICES estimated total commercial landings subdivisions 22–24 (eastern and western Baltic cod stocks),ICES catches Division 5.a,ICES catches Division 5.a.1,Catches corresponding to advice for combined Lophius species,Catches corresponding to advice for L. piscatorius,ICES catches for combined Lophius species,ICES catches for L. piscatorius,Agreed TAC.1,Official landings,ICES estimates of reported landings,Misreporting adjustment,ICES discards,ICES catch,Agreed TAC Division 3.a,Agreed TAC subdivisions 22–24,ICES estimated catch,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 4,Unnamed: 5,Official landings of plaice in 7.d,ICES landings of plaice in 7.d,ICES landings 7.d plaice,ICES discards of 7.d plaice,ICES discards of plaice in 7.d,Landings corresponding to advice,Catch corresponding to initial advice,Catch corresponding to final advice,TAC Division 3.a,TAC Norwegian zone Subarea 4,ICES discard estimates,ICES landings,ICES catch (discards and landings),Catch corresp. to advice for SDs 21–23,Catch corresp. to advice for Skagerrak and Kattegat combined,TAC Kattegat (SD 21),TAC Baltic Sea (SDs 22–32),ICES landings (SDs 21–23),Discards (SDs 21–23)
whg.27.7b-ce-k,,1987,,7100.0,18500.0,13720.0,,,7100.0,13720.0,,13720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1988,,7000.0,18500.0,15822.0,,,7000.0,15822.0,,15822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1989,,7900.0,19300.0,24276.0,,,7900.0,24276.0,,24276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1990,,8400.0,24000.0,24099.0,,,8400.0,24099.0,,24099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1991,,8000.0,24000.0,14402.0,,,8000.0,14402.0,,14402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1992,,8000.0,22000.0,14419.0,,,8000.0,14419.0,,14419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1995,,8200.0,31000.0,23559.0,,,8200.0,23559.0,,23559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1996,,600.0,28000.0,19539.0,,,600.0,19539.0,,19539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1997,,7300.0,27000.0,21067.0,,,7300.0,21067.0,,21067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1998,,8200.0,27000.0,19710.0,,,8200.0,19710.0,,19710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,1999,,12400.0,25000.0,29680.0,,,12400.0,24260.0,5420.0,29680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2000,,13100.0,22200.0,20430.0,,,13100.0,16030.0,4400.0,20430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2001,,13500.0,21000.0,23709.0,,,13500.0,13832.0,9877.0,23709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2002,,27700.0,31700.0,21631.0,,,27700.0,14295.0,7336.0,21631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2003,,20200.0,27000.0,22125.0,,,20200.0,11788.0,10337.0,22125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2004,,14000.0,27000.0,29843.0,,,14000.0,10321.0,19522.0,29843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2005,,10600.0,21600.0,26173.0,,,10600.0,12575.0,13598.0,26173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2006,,10800.0,19940.0,15006.0,,,10800.0,9908.0,5098.0,15006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2007,,,19940.0,17863.0,,,,9424.0,8439.0,17863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2008,,,19940.0,9840.0,,,,6080.0,3760.0,9840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2009,,,16949.0,10855.0,,,,6574.0,4281.0,10855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2010,,,14407.0,14916.0,,,,9570.0,5346.0,14916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2011,,,16658.0,13834.0,,,,10084.0,3750.0,13834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2012,,,19053.0,15950.0,,,,10834.0,5116.0,15950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2013,,17500.0,24500.0,16157.0,,,17500.0,12131.0,4026.0,16157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2014,,15562.0,19162.0,17655.0,,,15562.0,12983.0,4672.0,17655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2015,,18501.0,17742.0,19638.0,,,14230.0,13110.0,6528.0,19638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2016,,19076.0,22778.0,23460.0,,,15395.0,15201.0,8259.0,23460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2017,,25125.0,27500.0,15168.0,,,19825.0,12377.0,2791.0,15168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2018,,19429.0,22213.0,11146.0,,,13759.0,9007.0,2139.0,11146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2019,,15841.0,19184.0,970.0,,,,,970.0,970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2020,,6481.0,10863.0,7197.0,,,,5931.0,1266.0,7197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2021,,5261.0,10259.0,7377.0,,,,6153.0,1224.0,7377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2022,,4452.0,8352.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whg.27.7b-ce-k,,2023,,1715.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1987,,,,,,,,,,,,,TAC,,9 000,,28 566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1988,,,,,,,,,,,,,TAC,,16 000,,29 159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1989,,,,,,,,,,,,,TAC,,14 000,220 000,18 516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1990,,,,,,,,,,,,,TAC,,8 000,210 000,17 780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1991,,,,,,,,,,,,,TAC,,11 000,171 000,16 693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1992,,,,,,,,,,,,,Substantial reduction in F,,,100 000,17 996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1993,,,,,,,,,,,,,F at lowest possible level,,,40 000,21 228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1994,,,,,,,,,,,,,TAC,,22 000,60 000,30 695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1995,,,,,,,,,,,,,30% reduction in fishing effort from 1994 level,,,120 000,33 895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1996,,,,,,,,,,,,,30% reduction in fishing effort from 1994 level,,,165 000,50 845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1997,,,,,,,,,,,,,Fishing effort should not be allowed to increase above the level of recent years,,,180 000,43 624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1998,,,,,,,,,,,,,20% reduction in F from 1996,,35 000,136 950,34 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,1999,,,,,,,,,,,,,At or below Fsq with 50% probability,,38 000,126 000,42 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2000,,,,,,,,,,,,,Reduce F by 20%,,44 600,105 000,38 347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2001,,,,,,,,,,,,,Reduce F by 20%,,48 600,105 000,34 244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2002,,,,,,,,,,,,,Reduce F to below 1.0,,36 300,76 000,24 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2003,,,,,,,,,,,,,Reduce F to below 1.0,,22 600 or 28 800,75 000,24 624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2004,,,,,,,,,,,,,Reduce F to below 1.0,,29 600,29 600,20 854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2005,,,,,,,,,,,,,Reduce F to below 0.92,,23 400,24 700,22 045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2006,,,,,,,,,,,,,Management plan,,28 400,28 400,22 751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2007,,,,,,,,,,,,,Keep SSB at Bpa,,20 500,26 700,23 736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2008,,,,,,,,,,,,,Rebuild SSB to Bpa,,13 500,19 200,20 082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2009,,,,,,,,,,,,,Rebuild SSB to Bpa,,13 700,16 300,15 549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2010,,,,,,,,,,,,,Management plan,,17 700,17 700,14 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2011,,,,,,,,,,,,,See scenarios,,,18 800,16 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2012,,,,,,,,,,,,,Management plan,,21 300,21 300,17 072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2013,,,,,,,,,,,,,Management plan,,20 800,20 000,12 968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2014,,,,,,,,,,,,,Management plan,,17 037,17 000,13 538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2015,,,,,,,,,,,,,MSY approach,,8 793,15 900,13418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2016,,,,,,,,,,,,,MSY approach (F = 0.23),7 797,,12 720,10 629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2017,,,,,,,,,,,,,MSY approach (F = 0.15),3 475,917,5 597,5 865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2018,,,,,,,,,,,,,MAP F ranges: Flower to FMSY adjusted by SSB2018/ MSY Btrigger (F = 0.11–0.188),3 130–5 295,1 376–3 541,5 597,5 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2019,,,,,,,,,,,,,MAP range: FMSY Flower to Fupper (F = 0.15–0.45),9 094–23 992,5 867–22 238,9 515,7 701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2020,,,,,,,,,,,,,MAP range: FMSY Flower to Fupper (F = 0.18–0.43),5 205–11 006,3 065–8 866,3 806,3 329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2021,,,,,,,,,,,,,Management plan,5 950 (range 4 275–9 039),4 635 (range 2 960– 7 724),4 000,1 329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2022,,,,,,,,,,,,,MSY approach,698,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.22-24,,2023,,,,,,,,,,,,,MSY approach,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1988,,13000.0,18000.0,19200.0,,,,16800.0,2400.0,19200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1989,,20000.0,20000.0,22700.0,,,,19200.0,3500.0,22700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1990,,15000.0,17500.0,20200.0,,,,17700.0,2500.0,20200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1991,,15000.0,21000.0,23600.0,,,,21700.0,1900.0,23600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1992,,27000.0,21000.0,23000.0,,,,20900.0,2100.0,23000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1993,,,21000.0,21100.0,,,,19200.0,1900.0,21100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1994,,,21000.0,19100.0,,,,17400.0,1700.0,19100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1995,,,21000.0,19000.0,,,,18300.0,700.0,19000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1996,,9800.0,,21800.0,,,,18800.0,3000.0,21800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1997,,25000.0,22000.0,18800.0,,,,18100.0,700.0,18800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1998,,25000.0,22000.0,20300.0,,,,20300.0,0.0,20300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,1999,,19000.0,21000.0,18100.0,,,,18100.0,0.0,18100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2001,,17900.0,20000.0,17729.0,,,,17729.0,0.0,17729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2002,,11000.0,11000.0,10550.0,,,,10550.0,0.0,10550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2003,,,13000.0,10875.0,,,,10875.0,0.0,10875.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2004,,11000.0,13000.0,11065.0,,,,11065.0,0.0,11065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2005,,11000.0,13000.0,8452.0,,,,8452.0,0.0,8452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2006,,6700.0,11000.0,8530.0,,,,8530.0,0.0,8530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2007,,,9400.0,8268.0,,,,8268.0,0.0,8268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2008,,,7900.0,6853.0,,,,6853.0,0.0,6853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2009,,,5900.0,5760.0,,,,5760.0,0.0,5760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2010,,10150.0,10150.0,8406.0,,,,8406.0,0.0,8406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2011,,,13200.0,11503.0,,,,11503.0,0.0,11503.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2012,,26900.0,21100.0,21765.0,,,,21604.0,161.0,21765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2013,,18500.0,17200.0,16185.0,,,,16067.0,118.0,16185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2014,,35942.0,22300.0,19574.0,,,,18930.0,644.0,19574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2015,,15140.0,15700.0,17826.0,,,,17579.0,247.0,17826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2016,,23164.0,15400.0,16841.0,,,,16659.0,182.0,16841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2017,,16145.0,14500.0,11324.0,,,,11194.0,130.0,11324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2018,,5445.0,10100.0,4589.0,,,,4589.0,0.0,4589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2019,,4742.0,4742.0,1841.0,,,,1841.0,0.0,1841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2020,,0.0,869.0,132.0,,,,132.0,0.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2021,,0.0,869.0,609.0,,,,609.0,0.0,609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2022,,0.0,869.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her.27.irls,,2023,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1987,,595000.0,560000.0,523071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1988,,530000.0,590000.0,434939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1989,,335000.0,300000.0,332481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1990,,172000.0,160000.0,212000.0,,,,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1991,,215000.0,215000.0,319158.0,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1992,,250000.0,356000.0,513234.0,,,,130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1993,,256000.0,500000.0,581611.0,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1994,,649000.0,700000.0,771086.0,,,,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1995,,681000.0,700000.0,739999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1996,,746000.0,700000.0,732228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1997,,993000.0,850000.0,762403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1998,,514000.0,654000.0,592624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,1999,,360000.0,480000.0,484910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2000,,110000.0,390000.0,414870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2001,,263000.0,395000.0,426471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2002,,181000.0,395000.0,535045.0,,,,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2003,,305000.0,395000.0,551990.0,,,,115000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2004,,398000.0,486000.0,606445.0,,,,117000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2005,,485000.0,485000.0,641276.0,,,,166000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2006,,471000.0,471000.0,537642.0,,,,67100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2007,,309000.0,424000.0,486883.0,,,,41087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2008,,409000.0,430000.0,464171.0,,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2009,,473000.0,525000.0,523431.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2010,,577500.0,607000.0,609983.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2011,,703000.0,703000.0,719829.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2012,,751000.0,751000.0,727663.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2013,,940000.0,1000000.0,966209.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2014,,993000.0,993000.0,986449.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2015,,894000.0,894000.0,864384.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2016,,805000.0,894000.0,849422.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2017,,805000.0,890000.0,868276.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2018,,712000.0,775000.0,778627.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2019,,674678.0,725000.0,692609.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2020,,689672.0,738000.0,692903.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2021,,885600.0,885600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod.27.1-2,,2022,,708480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san.sa.2r,,2005,,,661000.0,41000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san.sa.2r,,2006,,,300000.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san.sa.2r,,2007,,,173000.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san.sa.2r,,2008,,,375000.0,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
