AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,1996,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,6564,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,1997,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,7406,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,1998,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,5139,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,1999,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,14443,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2000,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,10641,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2001,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,2119,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2002,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,4692,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2003,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,9020,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2004,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,5646,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2005,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,6784,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2006,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,2086,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2007,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,3762,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2008,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,2355,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2009,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,3844,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2010,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,3744.275,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2011,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,4538.415,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2012,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,10719.2,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,2021,spr.27.67a-cf-k,2706,169280,Advice,2013,Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a-c and 7.f-k (West of Scotland. southern Celtic Seas),27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Sprattus sprattus,,https://doi.org/10.17895/ices.advice.7869,,,,,Recruitment,,,,,,,,B_index,tonnes,tonnes,5886.577,,,,,,,,,,Frel,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
